"Sr. No.","State","Work","Work ID","IDA","Hon'ble Members of Parliament","Constituency","Expenditure Date","Vendor Name","Payment Status","Fund Disbursed Amount ( ₹ )"
"26239","Karnataka","Installing community drinking water plants","WS/MP18081/2025-2026/157236","BENGALURU RURAL(DEPUTY COMMISSIONER BANGALORE RURAL SBM URBAN)","DR.K.SUDHAKAR","CHIKBALLAPUR","16-Jan-2026","NIRMITHI KENDRA BANGALORE RURAL DISTRICT","Payment Success","400000"
"26240","Karnataka","Construction of bus-sheds or bus-stops","WS/MP18081/2025-2026/157238","BENGALURU RURAL(DEPUTY COMMISSIONER BANGALORE RURAL SBM URBAN)","DR.K.SUDHAKAR","CHIKBALLAPUR","16-Jan-2026","NIRMITHI KENDRA BANGALORE RURAL DISTRICT","Payment Success","500000"
"26241","Karnataka","Construction of bus-sheds or bus-stops","WS/MP18081/2025-2026/157242","BENGALURU RURAL(DEPUTY COMMISSIONER BANGALORE RURAL SBM URBAN)","DR.K.SUDHAKAR","CHIKBALLAPUR","16-Jan-2026","NIRMITHI KENDRA BANGALORE RURAL DISTRICT","Payment Success","500000"
"26242","Karnataka","Construction of bus-sheds or bus-stops","WS/MP18081/2025-2026/157221","BENGALURU RURAL(DEPUTY COMMISSIONER BANGALORE RURAL SBM URBAN)","DR.K.SUDHAKAR","CHIKBALLAPUR","15-Oct-2025","NIRMITHI KENDRA BANGALORE RURAL DISTRICT","Payment Success","500000"
"26243","Karnataka","Construction of bus-sheds or bus-stops","WS/MP18081/2025-2026/157221","BENGALURU RURAL(DEPUTY COMMISSIONER BANGALORE RURAL SBM URBAN)","DR.K.SUDHAKAR","CHIKBALLAPUR","21-Feb-2026","NIRMITHI KENDRA BANGALORE RURAL DISTRICT","Payment Success","500000"
"26244","Karnataka","Construction of bus-sheds or bus-stops","WS/MP18081/2025-2026/157231","BENGALURU RURAL(DEPUTY COMMISSIONER BANGALORE RURAL SBM URBAN)","DR.K.SUDHAKAR","CHIKBALLAPUR","15-Oct-2025","NIRMITHI KENDRA BANGALORE RURAL DISTRICT","Payment Success","250000"
"26245","Karnataka","Construction of bus-sheds or bus-stops","WS/MP18081/2025-2026/157231","BENGALURU RURAL(DEPUTY COMMISSIONER BANGALORE RURAL SBM URBAN)","DR.K.SUDHAKAR","CHIKBALLAPUR","09-Jul-2026","NIRMITHI KENDRA BANGALORE RURAL DISTRICT","Payment Success","250000"
"26246","Karnataka","Installing community drinking water plants","WS/MP18081/2025-2026/157215","BENGALURU RURAL(DEPUTY COMMISSIONER BANGALORE RURAL SBM URBAN)","DR.K.SUDHAKAR","CHIKBALLAPUR","02-Dec-2025","NIRMITHI KENDRA BANGALORE RURAL DISTRICT","Payment Success","400000"
"26247","Karnataka","Installing community drinking water plants","WS/MP18081/2025-2026/157215","BENGALURU RURAL(DEPUTY COMMISSIONER BANGALORE RURAL SBM URBAN)","DR.K.SUDHAKAR","CHIKBALLAPUR","09-Jul-2026","NIRMITHI KENDRA BANGALORE RURAL DISTRICT","Payment Success","400000"
"26248","Uttar Pradesh","Construction of rooms and halls in school and colleges","WS/MP18345/2025-2026/194559","AURAIYA(DISTRICT MAGISTRATE AURAIYA_IDA)","AKHILESH YADAV","KANNAUJ","16-Dec-2025","RADHE KRISHNA ENTERPRISES","Payment Success","434269"
"26249","Uttar Pradesh","Construction of rooms and halls in school and colleges","WS/MP18345/2025-2026/194559","AURAIYA(DISTRICT MAGISTRATE AURAIYA_IDA)","AKHILESH YADAV","KANNAUJ","08-May-2026","RADHE KRISHNA ENTERPRISES","Payment Success","155315"
"26250","Himachal Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP432/2025-2026/213482","BILASPUR(DEPUTY COMMISSIONER, BILASPUR)","Anurag Singh Thakur","HAMIRPUR_HP","23-Sep-2025","Gram Panchayat Marhana","Payment Success","150000"
"26251","Himachal Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP432/2025-2026/213482","BILASPUR(DEPUTY COMMISSIONER, BILASPUR)","Anurag Singh Thakur","HAMIRPUR_HP","17-Dec-2025","Gram Panchayat Marhana","Payment Success","49874"
"26252","West Bengal","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP859/2025-2026/190564","HOOGHLY(DISTRICT MAGISTRATE HOOGHLY_IDA)","Kalyan Banerjee","SREERAMPUR","25-Sep-2025","S K CONSTRUCTION CO","Payment Success","409872"
"26253","Madhya Pradesh","Installation of fixed garden gym equipment","WS/MP18101/2025-2026/229914","DAMOH(DISTRICT COLLECTOR DAMOH_IDA)","RAHUL SINGH LODHI","DAMOH","20-May-2026","MP STATE AGRO INDUSTRIES DEVELOPMENT CORPORATION LTD DAMOH","Payment Success","911540"
"26254","Madhya Pradesh","Installation of fixed garden gym equipment","WS/MP18101/2025-2026/229915","DAMOH(DISTRICT COLLECTOR DAMOH_IDA)","RAHUL SINGH LODHI","DAMOH","20-May-2026","MP STATE AGRO INDUSTRIES DEVELOPMENT CORPORATION LTD DAMOH","Payment Success","911540"
"26255","Madhya Pradesh","Installation of fixed garden gym equipment","WS/MP18101/2025-2026/229916","DAMOH(DISTRICT COLLECTOR DAMOH_IDA)","RAHUL SINGH LODHI","DAMOH","20-May-2026","MP STATE AGRO INDUSTRIES DEVELOPMENT CORPORATION LTD DAMOH","Payment Success","911540"
"26256","Madhya Pradesh","Installation of fixed garden gym equipment","WS/MP18101/2025-2026/229917","DAMOH(DISTRICT COLLECTOR DAMOH_IDA)","RAHUL SINGH LODHI","DAMOH","20-May-2026","MP STATE AGRO INDUSTRIES DEVELOPMENT CORPORATION LTD DAMOH","Payment Success","911540"
"26257","Madhya Pradesh","Purchase of non-conventional energy system and devices for community use","WS/MP18101/2025-2026/229630","DAMOH(DISTRICT COLLECTOR DAMOH_IDA)","RAHUL SINGH LODHI","DAMOH","10-Dec-2025","MP STATE AGRO INDUSTRIES DEVELOPMENT CORPORATION LTD DAMOH","Payment Success","90312"
"26258","Madhya Pradesh","Purchase of non-conventional energy system and devices for community use","WS/MP18101/2025-2026/229631","DAMOH(DISTRICT COLLECTOR DAMOH_IDA)","RAHUL SINGH LODHI","DAMOH","11-Dec-2025","MP STATE AGRO INDUSTRIES DEVELOPMENT CORPORATION LTD DAMOH","Payment Success","90312"
"26259","Madhya Pradesh","Purchase of non-conventional energy system and devices for community use","WS/MP18101/2025-2026/229632","DAMOH(DISTRICT COLLECTOR DAMOH_IDA)","RAHUL SINGH LODHI","DAMOH","11-Dec-2025","MP STATE AGRO INDUSTRIES DEVELOPMENT CORPORATION LTD DAMOH","Payment Success","90312"
"26260","Madhya Pradesh","Purchase of non-conventional energy system and devices for community use","WS/MP18101/2025-2026/229633","DAMOH(DISTRICT COLLECTOR DAMOH_IDA)","RAHUL SINGH LODHI","DAMOH","11-Dec-2025","MP STATE AGRO INDUSTRIES DEVELOPMENT CORPORATION LTD DAMOH","Payment Success","90312"
"26261","Madhya Pradesh","Purchase of non-conventional energy system and devices for community use","WS/MP18101/2025-2026/229634","DAMOH(DISTRICT COLLECTOR DAMOH_IDA)","RAHUL SINGH LODHI","DAMOH","11-Dec-2025","MP STATE AGRO INDUSTRIES DEVELOPMENT CORPORATION LTD DAMOH","Payment Success","90312"
"26262","Madhya Pradesh","Purchase of non-conventional energy system and devices for community use","WS/MP18101/2025-2026/229635","DAMOH(DISTRICT COLLECTOR DAMOH_IDA)","RAHUL SINGH LODHI","DAMOH","11-Dec-2025","MP STATE AGRO INDUSTRIES DEVELOPMENT CORPORATION LTD DAMOH","Payment Success","90312"
"26263","Madhya Pradesh","Purchase of non-conventional energy system and devices for community use","WS/MP18101/2025-2026/229636","DAMOH(DISTRICT COLLECTOR DAMOH_IDA)","RAHUL SINGH LODHI","DAMOH","11-Dec-2025","MP STATE AGRO INDUSTRIES DEVELOPMENT CORPORATION LTD DAMOH","Payment Success","90312"
"26264","Madhya Pradesh","Purchase of non-conventional energy system and devices for community use","WS/MP18101/2025-2026/229637","DAMOH(DISTRICT COLLECTOR DAMOH_IDA)","RAHUL SINGH LODHI","DAMOH","11-Dec-2025","MP STATE AGRO INDUSTRIES DEVELOPMENT CORPORATION LTD DAMOH","Payment Success","90312"
"26265","Madhya Pradesh","Purchase of non-conventional energy system and devices for community use","WS/MP18101/2025-2026/229574","DAMOH(DISTRICT COLLECTOR DAMOH_IDA)","RAHUL SINGH LODHI","DAMOH","12-Dec-2025","MP STATE AGRO INDUSTRIES DEVELOPMENT CORPORATION LTD DAMOH","Payment Success","225780"
"26266","Madhya Pradesh","Purchase of non-conventional energy system and devices for community use","WS/MP18101/2025-2026/229575","DAMOH(DISTRICT COLLECTOR DAMOH_IDA)","RAHUL SINGH LODHI","DAMOH","12-Dec-2025","MP STATE AGRO INDUSTRIES DEVELOPMENT CORPORATION LTD DAMOH","Payment Success","45156"
"26267","Madhya Pradesh","Purchase of non-conventional energy system and devices for community use","WS/MP18101/2025-2026/229576","DAMOH(DISTRICT COLLECTOR DAMOH_IDA)","RAHUL SINGH LODHI","DAMOH","12-Dec-2025","MP STATE AGRO INDUSTRIES DEVELOPMENT CORPORATION LTD DAMOH","Payment Success","90312"
"26268","Madhya Pradesh","Purchase of non-conventional energy system and devices for community use","WS/MP18101/2025-2026/229577","DAMOH(DISTRICT COLLECTOR DAMOH_IDA)","RAHUL SINGH LODHI","DAMOH","12-Dec-2025","MP STATE AGRO INDUSTRIES DEVELOPMENT CORPORATION LTD DAMOH","Payment Success","90312"
"26269","Madhya Pradesh","Purchase of non-conventional energy system and devices for community use","WS/MP18101/2025-2026/229578","DAMOH(DISTRICT COLLECTOR DAMOH_IDA)","RAHUL SINGH LODHI","DAMOH","12-Dec-2025","MP STATE AGRO INDUSTRIES DEVELOPMENT CORPORATION LTD DAMOH","Payment Success","90312"
"26270","Madhya Pradesh","Purchase of non-conventional energy system and devices for community use","WS/MP18101/2025-2026/229643","DAMOH(DISTRICT COLLECTOR DAMOH_IDA)","RAHUL SINGH LODHI","DAMOH","12-Dec-2025","MP STATE AGRO INDUSTRIES DEVELOPMENT CORPORATION LTD DAMOH","Payment Success","903120"
"26271","Madhya Pradesh","Purchase of non-conventional energy system and devices for community use","WS/MP18101/2025-2026/229646","DAMOH(DISTRICT COLLECTOR DAMOH_IDA)","RAHUL SINGH LODHI","DAMOH","12-Dec-2025","MP STATE AGRO INDUSTRIES DEVELOPMENT CORPORATION LTD DAMOH","Payment Success","90312"
"26272","Madhya Pradesh","Purchase of non-conventional energy system and devices for community use","WS/MP18101/2025-2026/229647","DAMOH(DISTRICT COLLECTOR DAMOH_IDA)","RAHUL SINGH LODHI","DAMOH","12-Dec-2025","MP STATE AGRO INDUSTRIES DEVELOPMENT CORPORATION LTD DAMOH","Payment Success","90312"
"26273","Madhya Pradesh","Purchase of non-conventional energy system and devices for community use","WS/MP18101/2025-2026/229648","DAMOH(DISTRICT COLLECTOR DAMOH_IDA)","RAHUL SINGH LODHI","DAMOH","12-Dec-2025","MP STATE AGRO INDUSTRIES DEVELOPMENT CORPORATION LTD DAMOH","Payment Success","90312"
"26274","Madhya Pradesh","Purchase of non-conventional energy system and devices for community use","WS/MP18101/2025-2026/229649","DAMOH(DISTRICT COLLECTOR DAMOH_IDA)","RAHUL SINGH LODHI","DAMOH","12-Dec-2025","MP STATE AGRO INDUSTRIES DEVELOPMENT CORPORATION LTD DAMOH","Payment Success","90312"
"26275","Madhya Pradesh","Purchase of non-conventional energy system and devices for community use","WS/MP18101/2025-2026/229650","DAMOH(DISTRICT COLLECTOR DAMOH_IDA)","RAHUL SINGH LODHI","DAMOH","12-Dec-2025","MP STATE AGRO INDUSTRIES DEVELOPMENT CORPORATION LTD DAMOH","Payment Success","90312"
"26276","Madhya Pradesh","Purchase of non-conventional energy system and devices for community use","WS/MP18101/2025-2026/229651","DAMOH(DISTRICT COLLECTOR DAMOH_IDA)","RAHUL SINGH LODHI","DAMOH","12-Dec-2025","MP STATE AGRO INDUSTRIES DEVELOPMENT CORPORATION LTD DAMOH","Payment Success","90312"
"26277","Madhya Pradesh","Purchase of non-conventional energy system and devices for community use","WS/MP18101/2025-2026/229652","DAMOH(DISTRICT COLLECTOR DAMOH_IDA)","RAHUL SINGH LODHI","DAMOH","12-Dec-2025","MP STATE AGRO INDUSTRIES DEVELOPMENT CORPORATION LTD DAMOH","Payment Success","90312"
"26278","Madhya Pradesh","Purchase of non-conventional energy system and devices for community use","WS/MP18101/2025-2026/229653","DAMOH(DISTRICT COLLECTOR DAMOH_IDA)","RAHUL SINGH LODHI","DAMOH","12-Dec-2025","MP STATE AGRO INDUSTRIES DEVELOPMENT CORPORATION LTD DAMOH","Payment Success","90312"
"26279","Madhya Pradesh","Purchase of non-conventional energy system and devices for community use","WS/MP18101/2025-2026/229654","DAMOH(DISTRICT COLLECTOR DAMOH_IDA)","RAHUL SINGH LODHI","DAMOH","12-Dec-2025","MP STATE AGRO INDUSTRIES DEVELOPMENT CORPORATION LTD DAMOH","Payment Success","90312"
"26280","Madhya Pradesh","Purchase of non-conventional energy system and devices for community use","WS/MP18101/2025-2026/229655","DAMOH(DISTRICT COLLECTOR DAMOH_IDA)","RAHUL SINGH LODHI","DAMOH","12-Dec-2025","MP STATE AGRO INDUSTRIES DEVELOPMENT CORPORATION LTD DAMOH","Payment Success","90312"
"26281","Madhya Pradesh","Purchase of non-conventional energy system and devices for community use","WS/MP18101/2025-2026/229656","DAMOH(DISTRICT COLLECTOR DAMOH_IDA)","RAHUL SINGH LODHI","DAMOH","12-Dec-2025","MP STATE AGRO INDUSTRIES DEVELOPMENT CORPORATION LTD DAMOH","Payment Success","90312"
"26282","Madhya Pradesh","Purchase of non-conventional energy system and devices for community use","WS/MP18101/2025-2026/229597","DAMOH(DISTRICT COLLECTOR DAMOH_IDA)","RAHUL SINGH LODHI","DAMOH","12-Dec-2025","MP STATE AGRO INDUSTRIES DEVELOPMENT CORPORATION LTD DAMOH","Payment Success","225780"
"26283","Madhya Pradesh","Purchase of non-conventional energy system and devices for community use","WS/MP18101/2025-2026/229598","DAMOH(DISTRICT COLLECTOR DAMOH_IDA)","RAHUL SINGH LODHI","DAMOH","12-Dec-2025","MP STATE AGRO INDUSTRIES DEVELOPMENT CORPORATION LTD DAMOH","Payment Success","90312"
"26284","Madhya Pradesh","Purchase of non-conventional energy system and devices for community use","WS/MP18101/2025-2026/229599","DAMOH(DISTRICT COLLECTOR DAMOH_IDA)","RAHUL SINGH LODHI","DAMOH","12-Dec-2025","MP STATE AGRO INDUSTRIES DEVELOPMENT CORPORATION LTD DAMOH","Payment Success","90312"
"26285","Madhya Pradesh","Purchase of non-conventional energy system and devices for community use","WS/MP18101/2025-2026/229600","DAMOH(DISTRICT COLLECTOR DAMOH_IDA)","RAHUL SINGH LODHI","DAMOH","12-Dec-2025","MP STATE AGRO INDUSTRIES DEVELOPMENT CORPORATION LTD DAMOH","Payment Success","90312"
"26286","Madhya Pradesh","Purchase of non-conventional energy system and devices for community use","WS/MP18101/2025-2026/229601","DAMOH(DISTRICT COLLECTOR DAMOH_IDA)","RAHUL SINGH LODHI","DAMOH","12-Dec-2025","MP STATE AGRO INDUSTRIES DEVELOPMENT CORPORATION LTD DAMOH","Payment Success","90312"
"26287","Madhya Pradesh","Purchase of non-conventional energy system and devices for community use","WS/MP18101/2025-2026/229604","DAMOH(DISTRICT COLLECTOR DAMOH_IDA)","RAHUL SINGH LODHI","DAMOH","12-Dec-2025","MP STATE AGRO INDUSTRIES DEVELOPMENT CORPORATION LTD DAMOH","Payment Success","90312"
"26288","Madhya Pradesh","Purchase of non-conventional energy system and devices for community use","WS/MP18101/2025-2026/229605","DAMOH(DISTRICT COLLECTOR DAMOH_IDA)","RAHUL SINGH LODHI","DAMOH","12-Dec-2025","MP STATE AGRO INDUSTRIES DEVELOPMENT CORPORATION LTD DAMOH","Payment Success","90312"
"26289","Madhya Pradesh","Purchase of non-conventional energy system and devices for community use","WS/MP18101/2025-2026/229606","DAMOH(DISTRICT COLLECTOR DAMOH_IDA)","RAHUL SINGH LODHI","DAMOH","12-Dec-2025","MP STATE AGRO INDUSTRIES DEVELOPMENT CORPORATION LTD DAMOH","Payment Success","90312"
"26290","Madhya Pradesh","Purchase of non-conventional energy system and devices for community use","WS/MP18101/2025-2026/229607","DAMOH(DISTRICT COLLECTOR DAMOH_IDA)","RAHUL SINGH LODHI","DAMOH","12-Dec-2025","MP STATE AGRO INDUSTRIES DEVELOPMENT CORPORATION LTD DAMOH","Payment Success","90312"
"26291","Madhya Pradesh","Purchase of non-conventional energy system and devices for community use","WS/MP18101/2025-2026/229608","DAMOH(DISTRICT COLLECTOR DAMOH_IDA)","RAHUL SINGH LODHI","DAMOH","12-Dec-2025","MP STATE AGRO INDUSTRIES DEVELOPMENT CORPORATION LTD DAMOH","Payment Success","45156"
"26292","Madhya Pradesh","Purchase of non-conventional energy system and devices for community use","WS/MP18101/2025-2026/229609","DAMOH(DISTRICT COLLECTOR DAMOH_IDA)","RAHUL SINGH LODHI","DAMOH","12-Dec-2025","MP STATE AGRO INDUSTRIES DEVELOPMENT CORPORATION LTD DAMOH","Payment Success","90312"
"26293","Madhya Pradesh","Purchase of non-conventional energy system and devices for community use","WS/MP18101/2025-2026/229616","DAMOH(DISTRICT COLLECTOR DAMOH_IDA)","RAHUL SINGH LODHI","DAMOH","12-Dec-2025","MP STATE AGRO INDUSTRIES DEVELOPMENT CORPORATION LTD DAMOH","Payment Success","180634"
"26294","Madhya Pradesh","Purchase of non-conventional energy system and devices for community use","WS/MP18101/2025-2026/229617","DAMOH(DISTRICT COLLECTOR DAMOH_IDA)","RAHUL SINGH LODHI","DAMOH","12-Dec-2025","MP STATE AGRO INDUSTRIES DEVELOPMENT CORPORATION LTD DAMOH","Payment Success","135468"
"26295","Madhya Pradesh","Purchase of non-conventional energy system and devices for community use","WS/MP18101/2025-2026/229618","DAMOH(DISTRICT COLLECTOR DAMOH_IDA)","RAHUL SINGH LODHI","DAMOH","12-Dec-2025","MP STATE AGRO INDUSTRIES DEVELOPMENT CORPORATION LTD DAMOH","Payment Success","90312"
"26296","Madhya Pradesh","Purchase of non-conventional energy system and devices for community use","WS/MP18101/2025-2026/229619","DAMOH(DISTRICT COLLECTOR DAMOH_IDA)","RAHUL SINGH LODHI","DAMOH","12-Dec-2025","MP STATE AGRO INDUSTRIES DEVELOPMENT CORPORATION LTD DAMOH","Payment Success","90312"
"26297","Madhya Pradesh","Purchase of non-conventional energy system and devices for community use","WS/MP18101/2025-2026/229620","DAMOH(DISTRICT COLLECTOR DAMOH_IDA)","RAHUL SINGH LODHI","DAMOH","12-Dec-2025","MP STATE AGRO INDUSTRIES DEVELOPMENT CORPORATION LTD DAMOH","Payment Success","135468"
"26298","Madhya Pradesh","Purchase of non-conventional energy system and devices for community use","WS/MP18101/2025-2026/229621","DAMOH(DISTRICT COLLECTOR DAMOH_IDA)","RAHUL SINGH LODHI","DAMOH","12-Dec-2025","MP STATE AGRO INDUSTRIES DEVELOPMENT CORPORATION LTD DAMOH","Payment Success","90312"
"26299","Madhya Pradesh","Installation of fixed garden gym equipment","WS/MP18101/2025-2026/235261","DAMOH(DISTRICT COLLECTOR DAMOH_IDA)","RAHUL SINGH LODHI","DAMOH","30-Apr-2026","MP STATE AGRO INDUSTRIES DEVELOPMENT CORPORATION LTD DAMOH","Payment Success","700000"
"26300","Madhya Pradesh","Installation of fixed garden gym equipment","WS/MP18101/2025-2026/235261","DAMOH(DISTRICT COLLECTOR DAMOH_IDA)","RAHUL SINGH LODHI","DAMOH","20-May-2026","MP STATE AGRO INDUSTRIES DEVELOPMENT CORPORATION LTD DAMOH","Payment Success","211540"
"26301","Madhya Pradesh","Installation of fixed garden gym equipment","WS/MP18101/2025-2026/235263","DAMOH(DISTRICT COLLECTOR DAMOH_IDA)","RAHUL SINGH LODHI","DAMOH","30-Apr-2026","MP STATE AGRO INDUSTRIES DEVELOPMENT CORPORATION LTD DAMOH","Payment Success","700000"
"26302","Madhya Pradesh","Installation of fixed garden gym equipment","WS/MP18101/2025-2026/235263","DAMOH(DISTRICT COLLECTOR DAMOH_IDA)","RAHUL SINGH LODHI","DAMOH","20-May-2026","MP STATE AGRO INDUSTRIES DEVELOPMENT CORPORATION LTD DAMOH","Payment Success","211540"
"26303","Madhya Pradesh","Purchase of mobile water tankers","WS/MP18101/2025-2026/261593","DAMOH(DISTRICT COLLECTOR DAMOH_IDA)","RAHUL SINGH LODHI","DAMOH","23-Jul-2026","MP STATE AGRO INDUSTRIES DEVELOPMENT CORPORATION LTD DAMOH","Payment Success","199604"
"26304","Madhya Pradesh","Purchase of mobile water tankers","WS/MP18101/2025-2026/261594","DAMOH(DISTRICT COLLECTOR DAMOH_IDA)","RAHUL SINGH LODHI","DAMOH","23-Jul-2026","MP STATE AGRO INDUSTRIES DEVELOPMENT CORPORATION LTD DAMOH","Payment Success","199604"
"26305","Madhya Pradesh","Purchase of mobile water tankers","WS/MP18101/2025-2026/261596","DAMOH(DISTRICT COLLECTOR DAMOH_IDA)","RAHUL SINGH LODHI","DAMOH","23-Jul-2026","MP STATE AGRO INDUSTRIES DEVELOPMENT CORPORATION LTD DAMOH","Payment Success","199604"
"26306","Madhya Pradesh","Purchase of mobile water tankers","WS/MP18101/2025-2026/261597","DAMOH(DISTRICT COLLECTOR DAMOH_IDA)","RAHUL SINGH LODHI","DAMOH","23-Jul-2026","MP STATE AGRO INDUSTRIES DEVELOPMENT CORPORATION LTD DAMOH","Payment Success","199604"
"26307","Madhya Pradesh","Purchase of mobile water tankers","WS/MP18101/2025-2026/261598","DAMOH(DISTRICT COLLECTOR DAMOH_IDA)","RAHUL SINGH LODHI","DAMOH","23-Jul-2026","MP STATE AGRO INDUSTRIES DEVELOPMENT CORPORATION LTD DAMOH","Payment Success","199604"
"26308","Madhya Pradesh","Purchase of mobile water tankers","WS/MP18101/2025-2026/261599","DAMOH(DISTRICT COLLECTOR DAMOH_IDA)","RAHUL SINGH LODHI","DAMOH","23-Jul-2026","MP STATE AGRO INDUSTRIES DEVELOPMENT CORPORATION LTD DAMOH","Payment Success","199604"
"26309","Madhya Pradesh","Purchase of mobile water tankers","WS/MP18101/2025-2026/261600","DAMOH(DISTRICT COLLECTOR DAMOH_IDA)","RAHUL SINGH LODHI","DAMOH","23-Jul-2026","MP STATE AGRO INDUSTRIES DEVELOPMENT CORPORATION LTD DAMOH","Payment Success","199604"
